timestamp,eyes_detected,drowsiness_score,drowsy_event,event_count
2026-04-15 10:47:55.879,0,1.00,True,1
2026-04-15 10:47:55.936,0,1.00,True,1
2026-04-15 10:47:56.044,0,1.00,True,1
2026-04-15 10:47:56.151,0,1.00,True,1
2026-04-15 10:47:58.321,0,1.00,True,1
2026-04-15 10:47:58.376,0,1.00,True,1
2026-04-15 10:47:58.411,0,1.00,True,1
2026-04-15 10:47:58.444,0,1.00,True,1
2026-04-15 10:47:58.480,0,1.00,True,1
2026-04-15 10:47:58.515,0,1.00,True,1
2026-04-15 10:47:58.549,0,1.00,True,1
2026-04-15 10:47:58.583,0,1.00,True,1
2026-04-15 10:47:58.617,0,1.00,True,1
2026-04-15 10:47:58.651,0,1.00,True,1
2026-04-15 10:47:58.685,0,1.00,True,1
2026-04-15 10:47:58.721,0,1.00,True,1
2026-04-15 10:47:58.751,0,1.00,True,1
2026-04-15 10:47:58.781,0,1.00,True,1
2026-04-15 10:47:58.822,0,1.00,True,1
2026-04-15 10:47:58.859,0,1.00,True,1
2026-04-15 10:47:58.914,0,1.00,True,1
2026-04-15 10:47:58.969,0,1.00,True,1
2026-04-15 10:47:59.008,0,1.00,True,1
2026-04-15 10:47:59.046,0,1.00,True,1
2026-04-15 10:47:59.086,0,1.00,True,1
2026-04-15 10:47:59.123,0,1.00,True,1
2026-04-15 10:47:59.162,0,1.00,True,1
2026-04-15 10:48:01.321,0,1.00,True,1
2026-04-15 10:48:01.375,0,1.00,True,1
2026-04-15 10:48:01.416,0,1.00,True,1
2026-04-15 10:48:01.468,0,1.00,True,1
2026-04-15 10:48:01.506,0,1.00,True,1
2026-04-15 10:48:01.540,0,1.00,True,1
2026-04-15 10:48:01.574,0,1.00,True,1
2026-04-15 10:48:01.604,0,1.00,True,1
2026-04-15 10:48:01.634,0,1.00,True,1
2026-04-15 10:48:01.717,0,1.00,True,1
2026-04-15 10:48:01.787,0,1.00,True,1
2026-04-15 10:48:01.829,0,1.00,True,1
2026-04-15 10:48:01.903,0,1.00,True,1
2026-04-15 10:48:01.971,0,1.00,True,1
2026-04-15 10:48:02.019,0,1.00,True,1
2026-04-15 10:48:02.051,0,1.00,True,1
2026-04-15 10:48:02.136,0,1.00,True,1
2026-04-15 10:48:02.177,0,1.00,True,1
2026-04-15 10:48:04.329,0,1.00,True,1
2026-04-15 10:48:04.381,0,1.00,True,1
2026-04-15 10:48:04.410,0,1.00,True,1
2026-04-15 10:48:04.437,0,1.00,True,1
2026-04-15 10:48:04.503,0,1.00,True,1
2026-04-15 10:48:04.528,0,1.00,True,1
2026-04-15 10:48:04.569,0,1.00,True,1
2026-04-15 10:48:04.601,0,1.00,True,1
2026-04-15 10:48:04.628,0,1.00,True,1
2026-04-15 10:48:04.655,0,1.00,True,1
2026-04-15 10:48:04.688,0,1.00,True,1
2026-04-15 10:48:04.719,0,1.00,True,1
2026-04-15 10:48:04.782,0,1.00,True,1
2026-04-15 10:48:04.818,0,1.00,True,1
2026-04-15 10:48:04.892,0,1.00,True,1
2026-04-15 10:48:04.954,0,1.00,True,1
2026-04-15 10:48:04.981,0,1.00,True,1
2026-04-15 10:48:05.059,0,1.00,True,1
2026-04-15 10:48:05.108,0,1.00,True,1
2026-04-15 10:48:05.138,0,1.00,True,1
2026-04-15 10:48:05.167,0,1.00,True,1
